id,input_address,formatted_address,street,house_number,city,latitude,longitude,created_at,updated_at
1,"Jac. van Looystraat 5, 5216 SB 's-Hertogenbosch","Jac. van Looystraat 5, 5216 SB 's-Hertogenbosch",Jac. van Looystraat,5,'s-Hertogenbosch,51.6834733,5.3323285,2026-06-27 13:13:56,2026-06-27 13:13:56
2,"Hoogveldsestraat 9, Oss","Hoogveldsestraat 9, Oss",Hoogveldsestraat,9,Oss,51.7713895,5.6969239,2026-06-27 13:13:58,2026-06-27 13:13:58
3,"Krommeniestraat 13, Tilburg","Krommeniestraat 13, Tilburg",Krommeniestraat,13,Tilburg,51.5763281,5.0038347,2026-06-27 13:14:00,2026-06-27 13:14:00
4,"Courtine 2, Zaltbommel","Courtine 2, Zaltbommel",Courtine,2,Zaltbommel,51.8038822,5.2314758,2026-06-27 13:14:02,2026-06-27 13:14:02
5,"Boschweg 236, Schijndel","Boschweg 236, Schijndel",Boschweg,236,Schijndel,51.6333749,5.406441,2026-06-27 13:14:04,2026-06-27 13:14:04
6,"Van Voordenpark 15, Zaltbommel","Van Voordenpark 15, Zaltbommel",Van Voordenpark,15,Zaltbommel,51.797331,5.2628049,2026-06-27 13:14:06,2026-06-27 13:14:06
7,Simulated address near Branch Den Bosch,"Dobbestraat 11, Nistelrode",Dobbestraat,11,Nistelrode,51.70696185541793,5.557428169116563,2026-06-27 13:14:08,2026-06-27 13:14:08
8,Simulated address near Branch Den Bosch,"Loofaert 47, Berlicum",Loofaert,47,Berlicum,51.69734012824477,5.399603598965762,2026-06-27 13:14:18,2026-06-27 13:14:18
9,Simulated address near Branch Den Bosch,"Scheibaan 2, Oisterwijk",Scheibaan,2,Oisterwijk,51.57615821402191,5.223908358596434,2026-06-27 13:14:22,2026-06-27 13:14:22
10,Simulated address near Branch Den Bosch,"Doctor Hoebenstraat 1, Oss",Doctor Hoebenstraat,1,Oss,51.77135030413272,5.54310348668045,2026-06-27 13:14:28,2026-06-27 13:14:28
11,Simulated address near Branch Den Bosch,"Hoofdstraat 71C, 's Gravenmoer",Hoofdstraat,71C,'s Gravenmoer,51.65205125390748,4.944819590203045,2026-06-27 13:14:36,2026-06-27 13:14:36
12,Simulated address near Branch Den Bosch,"Groenstraat 6, Esbeek",Groenstraat,6,Esbeek,51.461877707499994,5.144560869211226,2026-06-27 13:14:44,2026-06-27 13:14:44
13,Simulated address near Branch Den Bosch,"Vorstenbosseweg 10a, Heeswijk-Dinther",Vorstenbosseweg,10a,Heeswijk-Dinther,51.651750624562126,5.533594337718496,2026-06-27 13:14:48,2026-06-27 13:14:48
14,Simulated address near Branch Den Bosch,"Kaathoven 27A, Vinkel",Kaathoven,27A,Vinkel,51.69163435800694,5.454552124831125,2026-06-27 13:14:50,2026-06-27 13:14:50
15,Simulated address near Branch Den Bosch,"Zandstraat 11, Zaltbommel",Zandstraat,11,Zaltbommel,51.81194785803988,5.244934639368177,2026-06-27 13:14:58,2026-06-27 13:14:58
16,Simulated address near Branch Den Bosch,"Tilburgseweg 41, Hilvarenbeek",Tilburgseweg,41,Hilvarenbeek,51.51516581494878,5.1113364265649,2026-06-27 13:15:00,2026-06-27 13:15:00
17,Simulated address near Branch Den Bosch,"Vliegveldweg 4, Schijndel",Vliegveldweg,4,Schijndel,51.604165996304225,5.452968382635273,2026-06-27 13:15:04,2026-06-27 13:15:04
